year,root,mode,0,1,2,3,4,5,6,7,8,9,10,11
1502.0,,,0.2964247598719317,0.0,0.1147278548559231,0.0,0.1221985058697972,0.0811099252934898,0.0,0.2083778014941302,0.0,0.08991462113127,0.0018676627534685,0.0853788687299893
1540.0,,,0.1377245508982036,0.0,0.1844311377245509,0.0,0.1065868263473054,0.2011976047904191,0.0,0.1017964071856287,0.0,0.2215568862275449,0.0443113772455089,0.0023952095808383
1542.0,,,0.1677768526228143,0.0,0.2015681376630585,0.0,0.1047737996114349,0.0861781848459617,0.0001387732445184,0.2118373577574244,0.0,0.1263530391340549,0.0,0.1013738551207327
1535.0,,,0.120889748549323,0.0,0.2147001934235976,0.0205029013539651,0.0537717601547388,0.1261121856866537,0.0,0.1922630560928433,0.0,0.1392649903288201,0.132495164410058,0.0
1545.0,,,0.1238532110091743,0.0,0.2208387942332896,0.0019659239842726,0.0517693315858453,0.1500655307994757,0.0,0.1772608125819135,0.0,0.1372870249017038,0.136959370904325,0.0
1540.0,,,0.0896291208791208,0.0013736263736263,0.2424450549450549,0.0013736263736263,0.0762362637362637,0.1277472527472527,0.0,0.2287087912087912,0.0,0.0951236263736263,0.1373626373626373,0.0
1538.0,,,0.091996699669967,0.0,0.2141089108910891,0.0016501650165016,0.0647689768976897,0.1332508250825082,0.0,0.1707920792079208,0.0,0.1584158415841584,0.1225247524752475,0.0424917491749174
1553.0,,,0.1005205751115518,0.0,0.2214923153197818,0.0014873574615765,0.1000247892910262,0.1122954883490332,0.0004957858205255,0.2052553296975706,0.0,0.1343579573624194,0.1191125433812592,0.0049578582052553
1531.0,,,0.0882466281310212,0.0,0.2094412331406551,0.0,0.0676300578034682,0.1140655105973025,0.0,0.2227360308285164,0.0,0.1695568400770712,0.1267822736030828,0.0015414258188824
1537.0,,,0.1197907160674089,0.0003650301149844,0.1784388878749163,0.0,0.0851128551438827,0.0885198028837379,0.0,0.2901989414126665,0.0,0.1404149175640323,0.0,0.0971588489383707
1545.0,,,0.1577868852459016,0.0,0.1905737704918032,0.0,0.0993852459016393,0.0932377049180328,0.0,0.264344262295082,0.0,0.1270491803278688,0.0,0.0676229508196721
1564.0,,,0.1625076080340839,0.0,0.1777236762020694,0.0,0.1174680462568472,0.0998174071819841,0.0,0.1972002434570907,0.0,0.1539866098600121,0.0,0.0912964090079123
1570.0,,,0.1080402010050251,0.0085427135678391,0.2130653266331658,0.0351758793969849,0.0273869346733668,0.1339195979899497,0.0110552763819095,0.1839195979899496,0.0,0.1095477386934673,0.150251256281407,0.0190954773869346
1514.0,,,0.1404128191200434,0.0,0.2045084193373166,0.0,0.1306355241716458,0.0847365562194459,0.0,0.2152362846279196,0.0,0.1315860945138511,0.0076045627376425,0.0852797392721347
1539.0,,,0.1333333333333333,0.0,0.1900414937759336,0.0,0.0977869986168741,0.0800829875518672,0.0002766251728907,0.2775933609958506,0.0,0.1258644536652835,0.0082987551867219,0.0867219917012448
1540.0,,,0.1484927428358764,0.0044659471529586,0.1157424637141794,0.0,0.220320059545962,0.0697804242649795,0.0068850018608113,0.1384443617417194,0.006698920729438,0.1899888351321176,0.0040937848902121,0.0950874581317454
1528.0,,,0.0992647058823529,0.0,0.2254901960784313,0.0,0.0600490196078431,0.1703431372549019,0.0,0.2193627450980392,0.0,0.0894607843137254,0.133578431372549,0.0024509803921568
1549.0,,,0.1449579831932773,0.0,0.1712184873949579,0.0,0.1460084033613445,0.1323529411764706,0.0,0.0756302521008403,0.0,0.2678571428571428,0.0021008403361344,0.0598739495798319
1549.0,,,0.1409921671018277,0.0,0.1723237597911227,0.0,0.175805047867711,0.1331592689295039,0.0,0.1079199303742384,0.0,0.1993037423846823,0.011314186248912,0.0591818973020017
1549.0,,,0.0849282296650717,0.0,0.2081339712918661,0.0,0.0657894736842105,0.1507177033492823,0.0,0.2003588516746411,0.0,0.1070574162679426,0.0,0.1830143540669856
1549.0,,,0.0867410161090458,0.0,0.2286245353159851,0.0049566294919454,0.0526641883519206,0.2069392812887237,0.0,0.1517967781908302,0.0,0.0985130111524163,0.0,0.1697645600991326
1549.0,,,0.1107654013690106,0.0,0.2041070317361543,0.014934660858743,0.044181705040448,0.177971375233354,0.0,0.1437461107654013,0.0,0.1126322339763534,0.0,0.1916614810205351
1549.0,,,0.0823412698412698,0.0,0.2182539682539682,0.0059523809523809,0.060515873015873,0.175595238095238,0.0,0.1597222222222222,0.0,0.1299603174603174,0.0,0.1676587301587301
1549.0,,,0.1101152368758002,0.0,0.1869398207426376,0.0166453265044814,0.0691421254801536,0.1818181818181818,0.0,0.1485275288092189,0.0,0.1414852752880921,0.0,0.145326504481434
1549.0,,,0.1214723926380368,0.0,0.1834355828220858,0.0024539877300613,0.0598159509202454,0.1512269938650306,0.0,0.2230061349693251,0.0,0.1220858895705521,0.0,0.1365030674846625
1549.0,,,0.06640625,0.0,0.2294921875,0.0,0.0498046875,0.146484375,0.0,0.248046875,0.0,0.12109375,0.0,0.138671875
1549.0,,,0.1239436619718309,0.0,0.2,0.0056338028169014,0.0605633802816901,0.152112676056338,0.0,0.2126760563380281,0.0,0.1338028169014084,0.0,0.1112676056338028
1549.0,,,0.1581858407079646,0.0,0.1102507374631268,0.0,0.217551622418879,0.0803834808259587,0.0,0.1747787610619469,0.0,0.1578171091445427,0.0,0.1010324483775811
1549.0,,,0.1962513781697904,0.0,0.083792723263506,0.0,0.2017640573318632,0.0650496141124586,0.0,0.1951488423373759,0.0,0.1764057331863285,0.0,0.0815876515986769
1549.0,,,0.1614434947768281,0.0,0.1263057929724596,0.0,0.207977207977208,0.080721747388414,0.0,0.1661918328584995,0.0,0.1519468186134852,0.0,0.1054131054131054
1549.0,,,0.1775956284153005,0.0,0.0956284153005464,0.0,0.2222222222222222,0.0737704918032786,0.0,0.1684881602914389,0.0,0.163023679417122,0.0,0.099271402550091
1549.0,,,0.1563753007217321,0.0,0.111467522052927,0.0,0.1924619085805934,0.0785886126704089,0.0,0.1884522854851644,0.0,0.182036888532478,0.0,0.090617481956696
1549.0,,,0.2446043165467626,0.0,0.0839328537170263,0.0,0.0647482014388489,0.237410071942446,0.0,0.1247002398081534,0.0,0.1336930455635491,0.0,0.1109112709832134
1549.0,,,0.1950261780104712,0.0,0.1444153577661431,0.0034904013961605,0.0763525305410122,0.1928446771378708,0.0,0.1265270506108202,0.0,0.1230366492146596,0.0,0.1383071553228621
1549.0,,,0.1856894553881808,0.0,0.115874855156431,0.0243337195828505,0.0556199304750869,0.2369640787949015,0.0,0.1138470451911935,0.0,0.1477404403244496,0.0,0.1199304750869061
1549.0,,,0.2054507337526204,0.0,0.1268343815513626,0.0,0.0691823899371069,0.2337526205450733,0.0,0.1142557651991614,0.0,0.1572327044025157,0.0,0.0932914046121593
1549.0,,,0.167888074616922,0.0,0.173217854763491,0.0,0.139906728847435,0.078614257161892,0.0,0.2564956695536309,0.0,0.1199200532978014,0.0,0.0639573617588274
